date,metric,suburb_value,cr_value,sa3_value,area_name,property_type
2003-05-31,sell_price,277000.0,319000.0,302000.0,Belmont North,house
2003-06-30,sell_price,277000.0,324000.0,300000.0,Belmont North,house
2003-07-31,sell_price,293000.0,339000.0,296000.0,Belmont North,house
2003-08-31,sell_price,293000.0,342000.0,307000.0,Belmont North,house
2003-09-30,sell_price,295000.0,341000.0,301000.0,Belmont North,house
2003-10-31,sell_price,303000.0,344000.0,309000.0,Belmont North,house
2003-11-30,sell_price,306000.0,333000.0,315000.0,Belmont North,house
2003-12-31,sell_price,323000.0,331000.0,313000.0,Belmont North,house
2004-01-31,sell_price,329000.0,334000.0,316000.0,Belmont North,house
2004-02-29,sell_price,342000.0,383000.0,448000.0,Belmont North,house
2004-02-29,sell_price,347000.0,380000.0,342000.0,Belmont North,unit
2004-03-31,sell_price,351000.0,388000.0,453000.0,Belmont North,house
2004-03-31,sell_price,347000.0,492000.0,345000.0,Belmont North,unit
2004-04-30,sell_price,347000.0,494000.0,347000.0,Belmont North,unit
2004-04-30,sell_price,355000.0,391000.0,457000.0,Belmont North,house
2004-05-31,sell_price,357000.0,395000.0,461000.0,Belmont North,house
2004-05-31,sell_price,347000.0,486000.0,350000.0,Belmont North,unit
2004-06-30,sell_price,357000.0,397000.0,465000.0,Belmont North,house
2004-06-30,sell_price,347000.0,478000.0,358000.0,Belmont North,unit
2004-07-31,sell_price,356000.0,479000.0,358000.0,Belmont North,unit
2004-07-31,sell_price,355000.0,400000.0,467000.0,Belmont North,house
2004-08-31,sell_price,359000.0,403000.0,471000.0,Belmont North,house
2004-08-31,sell_price,356000.0,469000.0,359000.0,Belmont North,unit
2004-09-30,sell_price,356000.0,441000.0,359000.0,Belmont North,unit
2004-09-30,sell_price,360000.0,405000.0,473000.0,Belmont North,house
2004-10-31,sell_price,363000.0,405000.0,473000.0,Belmont North,house
2004-10-31,sell_price,356000.0,440000.0,361000.0,Belmont North,unit
2004-11-30,sell_price,356000.0,438000.0,359000.0,Belmont North,unit
2004-11-30,sell_price,372000.0,407000.0,474000.0,Belmont North,house
2004-12-31,sell_price,356000.0,434000.0,348000.0,Belmont North,unit
2004-12-31,sell_price,374000.0,407000.0,473000.0,Belmont North,house
2005-01-31,sell_price,368000.0,409000.0,476000.0,Belmont North,house
2005-01-31,sell_price,356000.0,432000.0,345000.0,Belmont North,unit
2005-02-28,sell_price,356000.0,430000.0,344000.0,Belmont North,unit
2005-02-28,sell_price,358000.0,410000.0,474000.0,Belmont North,house
2005-03-31,sell_price,347000.0,410000.0,473000.0,Belmont North,house
2005-03-31,sell_price,356000.0,426000.0,344000.0,Belmont North,unit
2005-04-30,sell_price,346000.0,412000.0,475000.0,Belmont North,house
2005-04-30,sell_price,356000.0,436000.0,379000.0,Belmont North,unit
2005-05-31,sell_price,356000.0,449000.0,418000.0,Belmont North,unit
2005-05-31,sell_price,346000.0,407000.0,461000.0,Belmont North,house
2005-06-30,sell_price,356000.0,440000.0,420000.0,Belmont North,unit
2005-06-30,sell_price,358000.0,372000.0,369000.0,Belmont North,house
2005-07-31,sell_price,356000.0,438000.0,418000.0,Belmont North,unit
2005-07-31,sell_price,357000.0,368000.0,370000.0,Belmont North,house
2005-08-31,sell_price,355000.0,423000.0,371000.0,Belmont North,unit
2005-08-31,sell_price,356000.0,365000.0,366000.0,Belmont North,house
